No,I,Ton,Toff,Wire Feed,MRR,SR,Overcut
1,1,100,24,2,0.04462,1.6904,0.051
2,1,115,30,4,0.02591,3.4104,0.047
3,1,120,40,8,0.02148,1.7628,0.084
4,1,130,60,12,0.0232,1.8698,0.128
5,2,100,30,8,0.04142,1.557,0.101
6,2,115,24,12,0.19,3.09,0.108
7,2,120,60,2,0.2133,3.473,0.112
8,2,130,40,4,0.29,1.7306,0.157
9,10,100,40,12,0.03842,1.5266,0.065
10,10,115,60,8,0.02121,1.6486,0.058
11,10,120,24,4,0.0322,1.716,0.104
12,10,130,30,2,0.035,1.93,0.076
13,11,100,60,4,0.02,1.5436,0.064
14,11,115,40,2,0.01183,1.7756,0.069
15,11,120,30,12,0.02332,1.7936,0.058