Speed,Feed,Depth,Surface,MRR
80,0.06,0.5,0.34,1203.35
80,0.06,0.75,0.31,1807.56
80,0.06,1,0.30,2413.48
80,0.13,0.5,0.75,2607.26
80,0.13,0.75,0.73,3916.39
80,0.13,1,0.72,5229.21
80,0.21,0.5,1.51,4211.73
80,0.21,0.75,1.49,6326.47
80,0.21,1,1.48,8447.19
180,0.06,0.5,0.43,2707.54
180,0.06,0.75,0.41,4067.02
180,0.06,1,0.41,5430.34
180,0.13,0.5,0.76,5866.34
180,0.13,0.75,0.75,8811.87
180,0.13,1,0.74,11765.73
180,0.21,0.5,1.51,9476.40
180,0.21,0.75,1.50,14234.56
180,0.21,1,1.49,19006.18
280,0.06,0.5,0.50,4211.73
280,0.06,0.75,0.50,6326.47
280,0.06,1,0.49,8447.19
280,0.13,0.5,0.90,9125.42
280,0.13,0.75,0.89,13707.35
280,0.13,1,0.80,18302.25
280,0.21,0.5,1.68,14741.06
280,0.21,0.75,1.68,22142.65
280,0.21,1,1.67,29565.17